Zipcode,Lat,Long,Risk
8348,39.39,-74.88,0
8540,40.35,-74.65,0
8352,39.47,-75.13,0
8244,39.31,-74.6,0
8640,40.22,-74.76,0
8888,40.62,-74.76,0
7890,41.14,-74.74,0
7204,40.66,-74.26,0
7604,40.86,-74.07,0
7640,40.98,-73.98,0
8828,40.37,-74.42,0
7845,40.85,-74.57,0
7303,40.71,-74.06,0
7304,40.71,-74.06,0
7198,40.72,-74.17,0
7444,40.96,-74.3,0
7981,40.82,-74.41,0
7822,41.14,-74.68,0
8804,40.65,-75.08,0
7926,40.76,-74.6,0
7626,40.93,-73.95,0
7019,40.76,-74.21,0
7024,40.85,-73.97,0
7307,40.71,-74.06,0
7032,40.75,-74.11,0
7847,40.88,-74.62,0
8834,40.6,-75.05,0
8852,40.38,-74.54,0
7109,40.79,-74.16,0
8904,40.5,-74.42,0
7047,40.79,-74.02,0
8859,40.45,-74.3,0
7533,40.91,-74.16,0
8867,40.57,-74.96,0
7065,40.6,-74.28,0
7662,40.9,-74.07,0
7182,40.73,-74.17,0
8501,40.17,-74.58,0
8009,39.79,-74.93,0
8015,39.95,-74.55,0
8312,39.65,-75.08,0
7727,40.19,-74.17,0
8322,39.61,-75.02,0
8041,40.03,-74.68,0
8055,39.86,-74.82,0
8739,40.0,-74.06,0
8232,39.39,-74.51,0
8350,39.48,-74.87,0
8099,39.86,-75.09,0
8695,40.22,-74.76,0
8251,39.01,-74.93,0
8803,40.49,-75.0,0
7922,40.67,-74.42,0
7832,40.95,-75.06,0
7632,40.88,-73.94,0
7043,40.82,-74.21,0
7108,40.72,-74.17,0
8850,40.45,-74.43,0
7042,40.82,-74.21,0
7456,41.11,-74.27,0
7878,40.87,-74.47,0
7083,40.69,-74.26,0
7462,41.18,-74.51,0
7093,40.78,-74.0,0
7715,40.17,-74.02,0
8102,39.93,-75.1,0
8019,39.75,-74.46,0
7724,40.29,-74.05,0
8225,39.37,-74.55,0
7758,40.43,-74.09,0
8241,39.53,-74.48,0
8543,40.35,-74.65,0
8554,40.11,-74.77,0
8607,40.22,-74.76,0
8090,39.79,-75.14,0
8046,40.02,-74.88,0
7885,40.89,-74.58,0
7820,40.91,-74.83,0
7831,40.74,-74.95,0
7802,40.88,-74.55,0
7206,40.66,-74.19,0
7836,40.84,-74.7,0
7605,40.86,-73.99,0
7843,40.95,-74.65,0
7851,41.21,-74.82,0
8853,40.49,-74.73,0
7175,40.72,-74.17,0
7511,40.9,-74.22,0
7457,40.99,-74.3,0
7081,40.69,-74.32,0
8018,39.72,-74.9,0
8062,39.73,-75.22,0
8071,39.73,-75.13,0
8559,40.4,-74.97,0
8247,39.04,-74.76,0
8645,40.22,-74.76,0
8562,40.02,-74.63,0
8721,39.91,-74.21,0
8724,40.06,-74.11,0
8512,40.31,-74.51,0
8534,40.32,-74.79,0
8758,39.78,-74.19,0
7765,40.35,-74.26,0
8098,39.65,-75.32,0
7001,40.58,-74.27,0
7936,40.81,-74.36,0
7203,40.65,-74.26,0
7028,40.8,-74.2,0
7838,40.84,-74.94,0
7606,40.86,-74.04,0
7306,40.71,-74.06,0
7031,40.79,-74.12,0
7945,40.76,-74.59,0
7649,40.95,-74.03,0
7509,40.91,-74.16,0
7063,40.63,-74.4,0
7660,40.85,-74.02,0
7480,41.1,-74.39,0
7403,41.02,-74.33,0
7930,40.78,-74.69,0
8821,40.51,-74.67,0
7608,40.85,-74.06,0
7308,40.71,-74.06,0
7034,40.88,-74.38,0
7106,40.72,-74.17,0
7503,40.91,-74.16,0
7880,40.87,-74.89,0
8401,39.36,-74.42,0
8101,39.93,-75.1,0
8023,39.62,-75.51,0
8314,39.2,-74.97,0
8317,39.4,-74.82,0
8049,39.85,-75.03,0
8755,39.95,-74.18,0
8757,39.95,-74.18,0
8638,40.22,-74.76,0
8088,39.8,-74.62,0
8889,40.6,-74.76,0
8826,40.69,-74.94,0
7602,40.88,-74.04,0
7030,40.74,-74.02,0
7844,40.91,-74.96,0
7097,40.71,-74.06,0
7099,40.75,-74.11,0
7849,40.96,-74.61,0
7110,40.81,-74.15,0
8872,40.46,-74.32,0
7870,40.78,-74.79,0
7875,41.05,-74.86,0
7902,40.71,-74.36,0
8510,40.19,-74.42,0
8526,40.16,-74.49,0
8028,39.7,-75.11,0
8219,39.04,-74.91,0
8032,39.77,-75.05,0
8527,40.1,-74.35,0
8327,39.23,-75.0,0
8343,39.64,-75.16,0
7755,40.26,-74.02,0
8089,39.71,-74.81,0
7764,40.29,-74.01,0
8270,39.22,-74.8,0
8402,39.33,-74.5,0
7717,40.19,-74.01,0
8722,39.92,-74.2,0
8511,40.04,-74.55,0
8214,39.22,-74.85,0
8731,39.84,-74.19,0
8323,39.39,-75.36,0
8224,39.71,-74.52,0
8234,39.41,-74.58,0
8541,40.35,-74.65,0
8072,39.52,-75.38,0
7701,40.34,-74.06,0
7709,40.23,-74.0,0
8245,39.17,-74.82,0
7762,40.15,-74.02,0
7999,40.82,-74.41,0
7095,40.55,-74.28,0
8810,40.38,-74.51,0
7627,40.95,-73.95,0
7023,40.64,-74.38,0
7837,40.98,-74.63,0
8827,40.7,-74.96,0
7422,41.17,-74.44,0
7435,41.07,-74.42,0
7505,40.91,-74.16,0
7513,40.91,-74.16,0
8854,40.51,-74.45,0
7442,41.0,-74.28,0
8870,40.57,-74.73,0
7068,40.82,-74.3,0
7458,41.02,-74.09,0
8875,40.49,-74.48,0
7901,40.71,-74.36,0
7470,40.94,-74.24,0
